ICAO	Airline	CALL SIGN	Country
AXX	Advance Air Luftfahrtgesellschaft	SKY SHUTTLE	Germany
AXY	Air X Charter	LEGEND	Malta
AYA		ACADEMY AIR	
AYB	Belgian Army	BELGIAN ARMY	Belgium
AYC		AVIACO	
AYD		AIRLINES ALADIA	
AYE	Yunnan Yingan Airlines	AIR YING AN	China
AYG	Yangon Airways	AIR YANGON	Burma
AYL		ALPINE NEPAL	
AYM	Airman, S.L.	AIRMAN	Spain
AYN	Atlantic Airlines, S.A.	ATLANTIC NICARAGUA	Nicaragua
AYP		FLYNIKI	
AYR	Flight Training Europe	CYGNET	Spain
AYT	Ayeet Aviation & Tourism	AYEET	Israel
AYV		VARGWAY	
AYY		LUPUS	
AYZ		ATLANT-SOYUZ	
AZA	Alitalia	ALITALIA	Italy
AZB	Zaab Air	ZAAB AIR	Ghana
AZD		ARAL AIR	
AZE	Arcus-Air Logistic	ARCUS AIR	Germany
AZF	Air Zermatt AG	AIR ZERMATT	Switzerland
AZG	Silk Way West Airlines	SILK WEST	Azerbaijan
AZH		HELIAZE	
AZI	Astra Airlines	ASTRA	Greece
AZK	Azalhelikopter	AZALHELICOPTER	Azerbaijan
AZL		SKY AFRICA	
AZM	Aerocozumel	AEROCOZUMEL	Mexico
AZN		AMAZONAS	
AZO	Azimuth	AZIMUTH	Russia
AZP	Amaszonas Paraguay	GUARANI	Paraguay
AZP	Arizona Pacific Airways	ARIZONA PACIFIC	United States
AZQ	Silk Way Airlines	SILK LINE	Azerbaijan
AZR	Zenith Air	ZENAIR	South Africa
AZS	Aviacon Zitotrans Air Company	ZITOTRANS	Russia
AZT	Azimut, S.A.	AZIMUT	Spain
AZU	Azul Brazilian Airlines	AZUL	Brazil
AZV		AZOV AVIA	
AZW	Air Zimbabwe	AIR ZIMBABWE	Zimbabwe
AZX		AZTEC AIR	
AZY	Arizona Airways, Inc.	ARIZAIR	United States
AZY	Aztec Worldwide Airlines	AZTEC WORLD	United States
AZZ	Azza Transport	AZZA TRANSPORT	Sudan
BAA	Balkan Agro Aviation	BALKAN AGRO	Bulgaria
BAB	Bahrain Air BSC (Closed)	AWAL	Bahrain
BAC		BUFFALO AERO	
BAD		BADLANDS	
BAE	BAE Systems	FELIX	United Kingdom
BAF	Belgian Air Force	BELGIAN AIRFORCE	Belgium
BAG		SPEEDWAY	
BAH	The Amiri Flight	BAHRAIN	Bahrain
BAI		BONITO AIR	
BAJ	Baker Aviation	RODEO	United States
BAK	Blackhawk Airways	BLACKHAWK	United States
BAL	Belle Air Europe	BELLEAIR EUROPE	Italy
BAM	Business Air Services	BUSINESS AIR	Canada
BAN	British Antarctic Survey	PENGUIN	United Kingdom
BAO	Baden Aircraft Operations	AVANGARD	Germany
BAP	Trans International Express Aviation	BIG APPLE	United States
BAR	Bradly Air (Charter) Services	BRADLEY	Canada
BAS	Aero Services	AEROSERV	Barbados
BAT	Premiair	BALLISTIC	Luxembourg
BAU	Bissau Airlines	AIR BISSAU	Guinea-Bissau
BAV	Bamboo Airways	BAMBOO	Vietnam
BAW	British Airways	BIRD	United Kingdom
BAW	British Airways	SPEEDBIRD	United Kingdom
BAY		BAYON	
BAZ		BARGOUZIN	
BBA	Bannert Air	BANAIR	Austria
BBB	SwedJet Airways	BLACKBIRD	Sweden
BBC	Biman Bangladesh Airlines	BANGLADESH	Bangladesh
BBD	Bluebird Nordic	BLUE CARGO	Iceland
BBE	Ababeel Aviation	BABEL AIR	Sudan
BBF	B-Air Charter	SPEEDCHARTER	Germany
BBG		CADIA BIRD	
BBJ	Blue Air Lines	BLUE KOREA	South Korea
BBL	IBM Euroflight Operations	BLUE	Switzerland
BBN	Civil Aviation Authority Airworthiness Division	BRABAZON	United Kingdom
BBO	Flybaboo	BABOO	Switzerland
BBR	Santa Barbara Airlines	SANTA BARBARA	Venezuela
BBS	Beibars CJSC	BEIBARS	Kazakhstan
BBT		AGYDAL	
BBV	Bravo Airlines	BRAVO EUROPE	Spain
BBW	BB Airways	BEEBEE AIRWAYS	Nepal
BBX		BLUEBEL	
BBY		YEMEN BLUE	
BBZ	Bluebird Aviation	COBRA	Kenya
BCA		CALEDONIAN	
BCB	Carib Express	WAVEBIRD	Barbados
BCC		THAI BIZ	
BCF	BACH Flugbetriebsges	BACH	Austria
BCG		BELGIAN COASTGUARD	
BCH	Phillips Air	BEACHBALL	United States
BCI	Blue Islands	BLUE ISLAND	United Kingdom
BCJ	Blue Jet Charters	BLUE BOY	Poland
BCK	Priority Aviation Company	BANKCHECK	United States
BCM		B_C_M AIRLINES	
BCN	Ocean Air	BLUE OCEAN	Mauritania
BCR	British Charter	BACKER	United Kingdom
BCS	European Air Transport	EUROTRANS	Belgium
BCT	BCT Aviation	BOBCAT	United Kingdom
BCV	Business Aviation Center	BUSINESS AVIATION	Ukraine
BCY	CityJet	CITY-IRELAND	Ireland
BCY	CityJet	CITY JET	Ireland
BDA	Blue Dart Aviation	BLUE DART	India
BDF	Bissau Discovery Flying Club	BISSAU DISCOVERY	Guinea-Bissau
BDG	Mississippi State University	BULLDOG	United States
BDI		BIRDIE	
BDJ	Deer jet	CROWN JET	China
BDM	Air Bandama	BANDAMA	Ivory Coast
BDN	DERA Boscombe Down	GAUNTLET	United Kingdom
BDR	Badr Airlines	BADR AIR	Sudan
BDS	South Asian Airlines	SOUTH ASIAN	Bangladesh
BDV	Aberdair Aviation	ABERDAV	Kenya
BDY		BEL-BIRD	
BEA	Best Aviation Ltd	BEST AIR	Bangladesh
BEC		BEECH TEST	
BED	Belgorod Aviation Enterprise	BELOGORYE	Russia
BEE	Flybe	JERSEY	United Kingdom
BEF	Balear Express	BALEAR EXPRESS	Spain
BEG		BULGARIAN EAGLE	
BEH	Bel Air Helicopters	BLUECOPTER	Denmark
BEI		BENAIR	
BEK	Berkut Air	BERKUT	Kazakhstan
BEL	Brussels Airlines	BEELINE	Belgium
BEM		BUSINESS AIR	
BEN		BENIN CARGO	
BER	Air Berlin	AIR BERLIN	Germany
BES	Aero Services Executive	BIRD EXPRESS	France
BET	BETA - Brazilian Express Transportes Aéreos	BETA CARGO	Brazil
BEU		BATELEUR	
BEV		BELLAVIA	
BEX		BEXJET	
BEY		BESTFLY	
BEZ	Kingfisher Air Services	SEA BREEZE	United States
BFA		CHINOOKAIR	
BFC	Basler Flight Service	BASLER	United States
BFD		MEDIA JET	
BFF	Air Baffin	AIR BAFFIN	Canada
BFG	Bear Flight	BEARFLIGHT	Sweden
BFL	Buffalo Airways	BUFFALO	Canada
BFM		FAN MAY	
BFO	Bombardier	BOMBARDIER	Canada
BFR	Burkina Airlines	BURKLINES	Burkina Faso
BFS	Business Flight Sweden	BUSINESS FLIGHT	Sweden
BFT		BORDER	
BFW	Bahrain Defence Force	SUMMAN	Bahrain
BFX		BLUEFOX	
BFY	Bremenfly	BORGWARDT	Germany
BGA	Airbus Transport International	BELUGA	France
BGB		BIG BEND	
BGC		YANDU	
BGD		AIR BANGLA	
BGE		BRIDGE AIR	
BGF	Aviodetachment-28	BULGARIAN	Bulgaria
BGG	Aero BG	AERO BG	Mexico
BGH	BH Air	BALKAN HOLIDAYS	Bulgaria
BGI	British Gulf International	BRITISH GULF	São Tomé and Príncipe
BGK	British Gulf International-Fez	GULF INTER	Kyrgyzstan
BGL	Benin Golf Air	BENIN GOLF	Benin
BGM	Bugulma Air Enterprise	BUGAVIA	Russia
BGN		SKYBUDDY	
BGR	Budget Air Bangladesh	BUDGET AIR	Bangladesh
BGS		PIROL	
BGT	Bergen Air Transport	BERGEN AIR	Norway
BGY		SKIMMER	
BHA	Buddha Air	BUDDHA AIR	Nepal
BHC	Aerotaxis De La Bahia	BAHIA	Mexico
BHD		BANGKOK DUSIT	
BHE		BALTIC HELICOPTERS	
BHI	Balkh Airlines	SHARIF	Afghanistan
BHK	Blu Halkin	BLUEHAKIN	United Kingdom
BHL	Bristow Helicopters	BRISTOW	United Kingdom
BHN	Bristow Helicopters Nigeria	BRISTOW HELICOPTERS	Nigeria
BHO	Bhoja Airlines	BHOJA	Pakistan
BHP	Belair Airlines	BELAIR	Switzerland
BHR	Bighorn Airways	BIGHORN AIR	United States
BHS	Bahamasair	BAHAMAS	Bahamas
BHT		BRIGHTAIR	
BHU		BUSINESS HUNGARY	
BHV	Specavia Air Company	AVIASPEC	Russia
BHY	Bosphorus European Airways	BOSPHORUS	Turkey
BIA		BOHLKE	
BIC		BALESIN	
BID	Binair	BINAIR	Germany
BIE		MEDITERRANEE	
BIG	Big Island Air	BIG ISLE	United States
BIH	British International Helicopters	BRINTEL	United Kingdom
BIK		BIKKAIR	
BIL	Billund Air Center	BILAIR	Denmark
BIM		BINTER	
BIN	Boise Interagency Fire Center	BISON-AIR	United States
BIO	Bioflight A/S	BIOFLIGHT	Denmark
BIR	Bird Leasing	BIRD AIR	United States
BIS	Irbis Air	IRBIS	Kazakhstan
BIS	Sky Bishek	JUMA AIR	Kyrgyzstan
BIT		RUN BITTY	
BIV	Aviaservice	AVIASERVICE	Georgia
BIZ	Bizjet Ltd	BIZZ	United Kingdom
BJA	Baja Air	BAJA AIR	Mexico
BJC	Baltic Jet Aircompany	BALTIC JET	Latvia
BJF		BAXA	
BJK	Atlantic Airlines	BLACKJACK	United States
BJN		AIR JINGHUA	
BJS	Business Jet Solutions	SOLUTION	United States
BJT	ACM Aviation	BAY JET	United States
BJU		JET EXPRESS	
BJV	Beijing Vistajet Aviation	BEIJING VISTA	China
BKA	Bankair	BANKAIR	United States
BKB		BLACK BEAR	
BKF	BF-Lento OY	BAKERFLIGHT	Finland
BKH		BARKSTON	
BKJ	Barken International	BARKEN JET	United States
BKK	Blink	BLINKAIR	United Kingdom
BKL	Aircompany Barcol	BARCOL	Russia
BKM		CARDINAL	
BKN		BILLIKEN	
BKO		BRIKO	
BKP	Bangkok Airways	BANGKOK AIR	Thailand
BKR	Civil Air Patrol South Carolina Wing	BOX KAR	United States
BKS		BERKS	
BKT		BLACKTAIL	
BKU		BYKOVO AVIA	
BKV	Bukovyna	BUKOVYNA	Ukraine
BKY		BLUESKY AIRWAYS	
BLA	Blue Air	BLUE AIR	Romania
BLB	Blue Bird Aviation	BLUEBIRD SUDAN	Sudan
BLC	Bellesavia	BELLESAVIA	Belarus
BLD		BLACKADDER	
BLE	Blue Line	BLUE BERRY	France
BLF	Blue1	BLUEFIN	Finland
BLG	Belgavia	BELGAVIA	Belgium
BLH	Blue Horizon Travel Club	BLUE HORIZON	United States
BLI	Thyssen Krupp AG	BLUELINE	Germany
BLJ	Blue Jet	BLUEWAY	Spain
BLK	Westcoast Energy	BLUE FLAME	Canada
BLL	Baltic Airlines	BALTIC AIRLINES	Russia
BLM	Blue Sky Airlines	BLUE ARMENIA	Armenia
BLN	Bali International Air Service	BIAR	Indonesia
BLO		BELOGORIE	
BLQ		BLUE SQAURE	
BLR		BLUERIDGE	
BLS	Bearskin Lake Air Service	BEARSKIN	Canada
BLT	Baltic Aviation	BALTAIR	United States
BLU	IMP Aviation Services	BLUENOSE	Canada
BLV	Bellview Airlines	BELLVIEW AIRLINES	Nigeria
BLW	Wermlandsflyg AB	BLUESTAR	Sweden
BLX	TUIfly Nordic	BLUESCAN	Sweden
BLY	Starair	BLARNEY	Ireland
BLZ	Aero Barloz	AEROLOZ	Mexico
BMA		MIDLAND	
BMD	British Medical Charter	BRITISH MEDICAL	United Kingdom
BME	Briggs Marine Environmental Services	BRIGGS	United Kingdom
BMF		BALTIC MERIDIANS	
BMG		BOOMERANG	
BMH	Bristow Masayu Helicopters	MASAYU	Indonesia
BMI		BEMO	
BMJ	Bemidji Airlines	BEMIDJI	United States
BMK	GST Aero Aircompany	MURAT	Kazakhstan
BML		BISMILLAH	
BMM		ATLAS BLUE	
BMN	Bowman Aviation	BOWMAN	United States
BMP		AIR BAMA	
BMR	BMI Regional	MIDLAND	United Kingdom
BMS	Blue Air	BLUE MESSENGER	Romania
BMT		SYMONETTE	
BMV	Alatau Airlines	OLIGA	Kazakhstan
BMW	BMW	BMW-FLIGHT	Germany
BMX	Banco de Mexico	BANXICO	Mexico
BMY		BIMINI	
BNA	Bun Air Corporation	BUN AIR	United States
BNB	Aero Banobras	AEROBANOBRAS	Mexico
BNC	Sundance Air	BARNACLE AIR	United States
BND	Bond Offshore Helicopters	BOND	United Kingdom
BNE	Benina Air	BENINA AIR	Libya
BNF		BRUNEL	
BNG	BN Group Limited	VECTIS	United Kingdom
BNH		BAONENG JET	
BNI	Alberni Airways	ALBERNI	Canada
BNJ	Air Service Liège (ASL)	JET BELGIUM	Belgium
BNL	Blue Nile Ethiopia Trading	NILE TRADING	Ethiopia
BNR	Bonair Aviation	BONAIR	Canada
BNS	Bancstar - Valley National Corporation	BANCSTAR	United States
BNT	Bentiu Air Transport	BENTIU AIR	Sudan
BNV	Benane Aviation Corporation	BENANE	Mauritania
BNW	British North West Airlines	BRITISH NORTH	United Kingdom
BNX	LAI - Línea Aérea IAACA	AIR BARINAS	Venezuela
BNZ	Aerolíneas Bonanza	AERO BONANZA	Mexico
BOA	Boniair	KUMANOVO	Macedonia
BOB	Backbone A/S	BACKBONE	Denmark
BOC	Aerobona	AEROBONA	Mexico
BOD	Bond Air Services	UGABOND	Uganda
BOE	Boeing	BOEING	United States
BOF	Bordaire	BORDAIR	Canada
BOH		BOHEMIA	
BOI	Aboitiz Air	ABAIR	Philippines
BOL	Transportes Aéreos Bolivianos	BOL	Bolivia
BON	B&H Airlines	AIR BOSNA	Bosnia and Herzegovina
BOO	Bookajet Limited	BOOKAJET	United Kingdom
BOR		BOLIDORSA	
BOS	OpenSkies	MISTRAL	United Kingdom
BOT	Air Botswana	BOTSWANA	Botswana
BOU	Bouraq Indonesia Airlines	BOURAQ	Indonesia
BOV	Boliviana de Aviación	BOLIVIANA	Bolivia
BOX	Aerologic	GERMAN CARGO	Germany
BPA	Blue Panorama Airlines	BLUE PANOROMA	Italy
BPH	Phoenix Helicopter Academy	BLACK PHOENIX	United Kingdom
BPK	Berkhut ZK	VENERA	Kazakhstan
BPO	Bundespolizei-Fliegertruppe	PIROL	Germany
BPS	Budapest Aircraft Services/Manx2	BASE	Hungary
BPT	Bonus Aviation	BONUS	United Kingdom
BQI		MEDITERRANEA	
BRA		SCANOR	
BRB	BRA-Transportes Aéreos	BRA-TRANSPAEREOS	Brazil
BRC		BRAVI	
BRD	Brock Air Services	BROCK AIR	Canada
BRE	Breeze Ltd	AVIABREEZE	Ukraine
BRF	Air Bravo	AIR BRAVO	Uganda
BRG	Bering Air	BERING AIR	United States
BRH		BRIGHTSTAR	
BRI		BARRICK	
BRJ	Borajet	BORA JET	Turkey
BRK	Briansk State Air Enterprise	BRIANSK-AVIA	Russia
BRL	Topbrass Aviation	BRASS LINE	Nigeria
BRM		BOOMERANG	
BRN	Branson Airlines	BRANSON	United States
BRO	2Excel Aviation	BROADSWORD	United Kingdom
BRP	AeroBratsk	AEROBRA	Russia
BRQ	El-Buraq Air Transport	BURAQAIR	Libya
BRR	Mountain Air Service	MOUNTAIN AIR	United States
BRS	Brazilian Air Force	BRAZILIAN AIR FORCE	Brazil
BRT	British Regional Airlines	BRITISH	United Kingdom
BRU	Belavia Belarusian Airlines	BELARUS AVIA	Belarus
BRV		BOREAL AVIACION	
BRW	Bright Aviation Services	BRIGHT SERVICES	Bulgaria
BRX	Buffalo Express Airlines	BUFF EXPRESS	United States
BRY	Burundayavia	BURAIR	Kazakhstan
BRZ		GREMAIR	
BSA		BISSAU INTERNATIONAL	
BSB	Air Wings	ARBAS	Moldova
BSC	Bistair - Fez	BIG SHOT	Kyrgyzstan
BSD	Blue Star Airlines	AIRLINES STAR	Mexico
BSF		BUSINESS FLIGHT	
BSG		BOSS-GROUP	
BSH		CAPITAL ROTOR	
BSI	Brasair Transportes Aéreos	BRASAIR	Brazil
BSJ	Blue Swan Aviation	BLUE SWAN	United Kingdom
BSJ	Skybus Jet	SKYBUS JET	Bahamas
BSK	Miami Air International	BISCAYNE	United States
BSL		AIRBRASIL	
BSN	Connectair Charters	BASTION	Canada
BSR	Guine Bissaur Airlines	BISSAU AIRLINES	Guinea-Bissau
BSS	Bissau Aero Transporte	BISSAU AIRSYSTEM	Guinea-Bissau
BST	Best Air	TUNCA	Turkey
BSW	Blue Sky Airways	SKY BLUE	Czech Republic
BSX		BASSAKA	
BSY	Big Sky Airlines	BIG SKY	United States
BTA		JET LINK	
BTB		158 FIGHTER WING	
BTC	BAL Bashkirian Airlines	BASHKIRIAN	Russia
BTE		BALTIC EAST	
BTH	Baltijas Helicopters	BALTIJAS HELICOPTERS	Latvia
BTI	Air Baltic	AIR BALTIC	Latvia
BTK	Baltyka	BALTYKA	Ukraine
BTK	Batik Air	BATIK	Indonesia
BTL	Baltia Air Lines	BALTIA	United States
BTN		BHUTAN AIR	
BTP	Veritair	NET RAIL	United Kingdom
BTQ	Boutique Air	BOUTIQUE	United States
BTR	Botir-Avia	BOTIR-AVIA	Kyrgyzstan
BTS	Aerotaxis Albatros	AEROLINEAS ALBATROS	Mexico
BTT	BT-Slavuta	BEETEE-SLAVUTA	Ukraine
BTU	Rolls-Royce plc	ROLLS	United Kingdom
BTV	Batavia Air	BATAVIA	Indonesia
BTZ	Bristow U.S. LLC	BRISTOW	United States
BUA		BUSYAIR	
BUB		BOURBON	
BUC	Bulgarian Air Charter	BULGARIAN CHARTER	Bulgaria
BUD		BUDDY	
BUE	Orebro Aviation	BLUELIGHT	Sweden
BUF		SPEEDHAWK	
BUG		HEXBUG	
BUK		BUCKLEY	
BUL	Blue Airlines	BLUE AIRLINES	Democratic Republic of the Congo
BUN	Buryat Airlines Aircompany	BURAL	Russia
BUR		BURLINGTON	
BUT		BUTLERS	
BUZ	Buzz Stansted	BUZZ	United Kingdom
BVA	Buffalo Airways	BUFFALO AIR	United States
BVC	Bulgarian Aeronautical Centre	BULGARIAN WINGS	Bulgaria
BVG		BEEVEEGEE VIAJES	
BVI		AIR B-V-I	
BVL		BULGARY	
BVN	Baron Aviation Services	SHOW-ME	United States
BVR	ACM Air Charter	BAVARIAN	Germany
BVT	Berjaya Air	BERJAYA	Malaysia
BVV	Sparc Avia	SPARC	Russia
BVZ		ABAZIA	
BWA	Caribbean Airlines	CARIBBEAN AIRLINES	Trinidad and Tobago
BWA	Caribbean Airlines	CARIBBEAN	Trinidad and Tobago
BWB		BROOKER-WHEATON	
BWD	Bluewest Helicopters-Greenland	BLUEWEST	Denmark
BWE		BEEWEE	
BWG		BLUE WINGS	
BWI	Blue Wing Airlines	BLUE TAIL	Suriname
BWJ		BELLAWING	
BWK		ALTERAERO	
BWL	British World Airlines	BRITWORLD	United Kingdom
BWN		BLUEHELI	
BWO		WAYNE AIR	
BWS		BASS EXEC	
BWY	Fleet Requirements Air Direction Unit	BROADWAY	United Kingdom
BXA	Bahrain Executive Air Services	BEXAIR	Bahrain
BXH	Bar XH Air	PALLISER	Canada
BXI	Brussels International Airlines	XENIA	Belgium
BXJ	Brixtel Group	BRIXTEL JET	United States
BXL		BONAIRE EXPRESS	
BXR		BOXER	
BXS		SPANTAX	
BXX		STRONGBOX	
BYA	Berry Aviation	BERRY	United States
BYC	Cambodia Bayon Airlines	BAYON AIR	Cambodia
BYC	Northern Airlines Sanya	BEIYA	China
BYE	Bayu Indonesia Air	BAYU	Indonesia
BYF	San Carlos Flight Center	BAY FLIGHT	United States
BYG	Bygone Aviation	BYGONE	United States
BYJ		BAKHTAR	
BYK		SUMKO	
BYL	Bylina Joint-Stock Company	BYLINA	Russia
BYS		BEL SKY	
BYT	Patriot Aviation Limited	BYTE	United Kingdom
BYU		BAYU	
BZA	Bizair Fluggesellschaft	BERLIN BEAR	Germany
BZD		BLIZZARD	
BZE	Zenith Aviation	ZENSTAR	United Kingdom
BZF		BIZFLEET	
BZH	Brit Air	BRITAIR	France
BZQ	Seneca College	STING	Canada
BZS	Aero Biniza	BINIZA	Mexico
BZT		BUSINESS-SERVICE	
BZW		ZIRCON	
BZY	Fresh Air Aviation	BREEZY	United States
BZZ	Butane Buzzard Aviation Corporation	BUZZARD	United Kingdom
CAA	Civil Aviation Authority of the Czech Republic	INSPECTOR	Czech Republic
CAB	Chesapeake Air Service	CHESAPEAKE AIR	United States
CAC	Conquest Airlines	CONQUEST AIR	United States
CAD	Chilliwack Aviation	CHILLIWACKAIR	Canada
CAE	Colibri Aviation	HUMMINGBIRD	Canada
CAG	China National Aviation Corporation	CHINA NATIONAL	China
CAH		AIR CHABA	
CAI	Corendon Airlines	CORENDON	Turkey
CAJ	Air Caraibes Atlantique	CAR LINE	France
CAK		COUNTY	
CAL	China Airlines	DYNASTY	Taiwan
CAM	Camai Air	AIR CAMAI	United States
CAN	Crest Aviation	CREST	United Kingdom
CAO	Air China Cargo	AIRCHINA FREIGHT	China
CAP	Civil Air Patrol	CAP	United States
CAQ	Cityair (Chester) Limited	AIR CHESTER	United Kingdom
CAR	Inter RCA	QUEBEC ROMEO	Central African Republic
CAS	Christman Air System	CHRISTMAN	United States
CAT	Copenhagen Air Taxi	AIRCAT	Denmark
CAU		CANARIAS LINK	
CAV	Calm Air	CALM AIR	Canada
CAW	Kulula.com	COMAIR	South Africa
CAX	Central Air Express	CENTRAL EXPRESS	Democratic Republic of the Congo
CAY	Cayman Airways	CAYMAN	Cayman Islands
CAZ	Cat Aviation	EUROCAT	Switzerland
CBA	Civil Aviation Inspectorate of the Czech Republic	CALIBRA	Czech Republic
CBB	Cheboksary Airenterprise JSC	CHEBAIR	Russia
CBC		CARIBAIR	
CBD	Lockheed Martin Aeronautics	CATBIRD	United States
CBE	Aerovías Caribe	AEROCARIBE	Mexico
CBF		CHINA NORTHERN	
CBG	Guangxi Beibu Gulf Airlines	GREEN CITY	China
CBH	Corporate Eagle Management Services	CLUB HOUSE	United States
CBI	Cabi	CABI	Ukraine
CBJ	Beijing Capital Airlines	CAPITAL JET	China
CBK		STALBEK AIR	
CBL	Cumberland Airways (Nicholson Air Service)	CUMBERLAND	United States
CBM	Cherokee Express	BLUE MAX	United States
CBN	"Southern Illinois University as ""Aviation Flight"""	CARBONDALE	United States
CBN	Swedish Civil Aviation Administration	CALIBRATION	Sweden
CBO	Aerotaxi del Cabo	TAXI CABO	Mexico
CBR	Cabair College of Air Training	CABAIR	United Kingdom
CBS	Air Columbus	AIR COLUMBUS	Ukraine
CBT	Catalina Flying Boats	CATALINA AIR	United States
CBU		SCANAIR	
CBV	Aereo Cabo	CABOAEREO	Mexico
CBX		COBREX	
CBY	RAF Coningsby	TYPHOON	United Kingdom
CBZ		COOL BREEZE	
CCA	Air China	AIR CHINA	China
CCB	Caricom Airways	DOLPHIN	Barbados
CCC		GLOBAL CARGO	
CCD		CARLOS CERVANTES	
CCF	CCF Manager Airline	TOMCAT	Germany
CCG		CENTRAL CHARTER	
CCH	Chilchota Taxi Aéreo	CHILCHOTA	Mexico
CCI	Capital Cargo International Airlines	CAPPY	United States
CCK	Flight Trac	CABLE CHECK	United States
CCL	Cambodia Airlines	ANGKOR WAT	Cambodia
CCM	Air Corsica	CORSICA	France
CCN		CLASSIC JET	
CCO		AIR TENGLONG	
CCP	Champion Air	CHAMPION AIR	United States
CCQ	Capital City Air Carriers	CAP CITY	United States
CCR		CONCIAIR	
CCS		SKYSPIRIT	
CCT	Connect Air	CONNECT	Canada
CCU		TRANSCANARIAS	
CCV	Centro De Helicopteros Corporativos	HELICORPORATIVO	Mexico
CCW	Central Charter	CENTRAL CHARTER	Czech Republic
CCY	Cherry Air	CHERRY	United States
CDA	Aerocardal	CARDAL	Chile
CDB		AIR CORDOBA	
CDC	Zhejiang Loong Airlines	HUALONG	China
CDE	Comed Group	COMEX	United Kingdom
CDF		SAMANTA	
CDG	Shandong Airlines	SHANDONG	China
CDI	Cards Air Services	CARDS	Philippines
CDL	Sunbird Airlines	CAROLINA	United States
CDM	Carga Aérea Dominicana	CARGA AEREA	Dominican Republic
CDN	Canadian Helicopters	CANADIAN	Canada
CDO		CARGODOR	
CDP	Aero Condor Peru	CONDOR-PERU	Peru
CDQ		CHODANG FLIGHT	
CDR	Canadian Regional Airlines	CANADAIR	Canada
CDR	Canadian Regional Airlines	CANADIAN REGIONAL	Canada
CDS	Spectrem Air	SPECDAS	South Africa
CDT	Real Aero Club de Reus-Costa Dorado	AEROREUS	Spain
CDV	Airline Skol	SKOL	Russia
CDX		CEDAREX	
CDY	Heliaviation Limited	CADDY	United Kingdom
CEA	RegionsAir	CORP-X	United States
CEB	Cebu Pacific	CEBU AIR	Philippines
CEC	Celtic Airways	CELTAIR	United Kingdom
CED	CEDTA (Compañía Ecuatoriana De Transportes Aéreos)	CEDTA	Ecuador
CEE	Servicios Aéreos Centrales	CENTRA AEREOS	Mexico
CEF	Czech Air Force	CZECH AIR FORCE	Czech Republic
CEG	Cega Aviation	CEGA	United Kingdom
CEJ		CORPOEJECUTIVA	
CEK		SECA	
CEL		CEIBA LINE	
CEM	Central Mongolia Airways	CENTRAL MONGOLIA	Mongolia
CEN		CENTRAL AIRWAYS	
CEP	Chipola Aviation	CHIPOLA	United States
CER	Cetraca Aviation Service	CETRACA	Democratic Republic of the Congo
CES	China Eastern Airlines	CHINA EASTERN	China
CET	Centrafrican Airlines	CENTRAFRICAIN	Central African Republic
CEU		CENTRUM	
CEV	Centre d'Essais en Vol	CENTEV	France
CEW		TRYDONAIR	
CEX	Capitol Air Express	CAPITOL EXPRESS	United States
CEY		CENTURYFLIGHT	
CFA	China Flying Dragon Aviation	FEILONG	China
CFB	Chongqing Forebase General Aviation	FOREBASE	China
CFC	Canadian Forces	CANFORCE	Canada
CFD	Cranfield University	AERONAUT	United Kingdom
CFE	BA CityFlyer	FLYER	United Kingdom
CFF	Aerofan	AEROFAN	Spain
CFG	Condor Flugdienst	CONDOR	Germany
CFH	CareFlight	CARE FLIGHT	Australia
CFI	Flight Inspection Center of the General Administration of Civil Aviation in China	CHINA JET	China
CFJ	Fujian Airlines	FUJIAN	China
CFL	Swedish Airlines	SWEDISH	Sweden
CFM		ACEF	
CFN	RAF Church Fenton	CHURCH FENTON	United Kingdom
CFP		FAUCET	
CFR		CALFIRE	
CFS	Empire Airlines	EMPIRE AIR	United States
CFT		CASPER FREIGHT	
CFU	United Kingdom Civil Aviation Authority	MINAIR	United Kingdom
CFV	Aero Calafia	CALAFIA	Mexico
CFX		CEEFA CHARTER	
CFZ	Zhongfei General Aviation	ZHONGFEI	China
CGA	Congressional Air	CONGRESSIONAL	United States
CGB	Air Cargo Belize	CARGO BELIZE	Belize
CGC	Cal Gulf Aviation	CAL-GULF	São Tomé and Príncipe
CGE	Nelson Aviation College	COLLEGE	New Zealand
CGF	Cargoair	CLEVER	Bulgaria
CGG	Walmart Aviation	CHARGE	United States
CGH	Guizhou Airlines	GUIZHOU	China
CGI	Rusair JSAC	CGI-RUSAIR	Russia
CGK	Click Airways	CLICK AIR	Kyrgyzstan
CGL	Seagle Air	SEAGLE	Slovakia
CGM	Cargoman	HOTEL CHARLIE	Oman
CGN	Chang An Airlines	CHANGAN	China
CGO	Chicago Air	WILD ONION	United States
CGP		CAPGROUP	
CGR	Compagnia Generale Ripreseaeree	COMPRIP	Italy
CGS	Centre of Applied Geodynamica	GEO CENTRE	Russia
CGT		TRANSGAZ	
CGU	Chinguetti Airlines	CHINGUETTI	Mauritania
CGV	Aero Clube Do Algarve	CLUBE ALGARVE	Portugal
CGW		CHANGCHENG	
CGX	United States Coast Guard Auxiliary	COASTGUARD AUXAIR	United States
CGZ		COLORFUL	
CHA	Central Flying Service	CHARTER CENTRAL	United States
CHB	West Air (China)	WEST CHINA	China
CHC	China Ocean Helicopter Corporation	CHINA HELICOPTER	China
CHD	223rd Flight Unit	CHKALOVSK-AVIA	Russia
CHE	Top Flight Air Service	CHECK AIR	United States
